file_uuid,submitter_id,sample_id,sample_type,experimental_strategy
af052a29-5958-4486-bc98-726b16745f81,TCGA-DM-A1DB-01A,f80aef75-2b96-4085-b388-fab93485f809,Primary Tumor,RNA-Seq
afe3d9b9-625a-4c56-af75-09f639d94047,TCGA-DM-A1D9-01A,7e5e20f6-5276-4cba-a73f-1580df93aa58,Primary Tumor,RNA-Seq
2755abe2-5eb0-4ff3-ae8b-9cb0d88aa220,TCGA-D5-6531-01A,bfb18bc1-2476-49d5-9400-d8c7ea001372,Primary Tumor,RNA-Seq
e5efc72f-bd80-416b-9dbe-cb7d8769c1a6,TCGA-DM-A1DA-01A,76785e44-fd29-4077-8fbe-17214933e1be,Primary Tumor,RNA-Seq
de38d61d-2983-4b5a-9ae9-5d54d7e59212,TCGA-D5-6533-01A,1a058e77-7c20-4f50-ac89-185067ea7437,Primary Tumor,RNA-Seq
c949e692-e69a-4c78-a10a-63d0ab8cd335,TCGA-A6-5664-01A,3048539a-b914-4e43-b1cc-43ea707e3b3d,Primary Tumor,RNA-Seq
131b4e5e-de8f-4632-9ac1-7fc1b33c15af,TCGA-D5-6530-01A,50560725-c72d-4bab-b602-5e50e6bececd,Primary Tumor,RNA-Seq
a2b0827d-05d6-4611-8e01-359547b11f57,TCGA-DM-A28G-01A,f5acd8b8-32c4-4f3c-aacd-259f8e1fdfee,Primary Tumor,RNA-Seq
5dc539d1-e18c-4c9d-92ce-713628d75847,TCGA-A6-2677-01B,7554a84f-573c-4de9-9cda-e60674aea5fa,Primary Tumor,RNA-Seq
6c083b79-367b-4a67-864f-2bc349335559,TCGA-AD-6548-01A,dad24abd-0eb7-4534-a1f2-ebe38ec402f9,Primary Tumor,RNA-Seq
0575cdb8-7d14-4e0a-9746-f6b9030d3e7e,TCGA-AA-3527-11A,60f6dff0-316e-4200-979e-c43cb38f11c1,Solid Tissue Normal,RNA-Seq
b36b1c5e-b93a-4235-9c24-81e5ce798632,TCGA-G4-6625-01A,139cd85f-9a93-421f-8782-78ac917b97e6,Primary Tumor,RNA-Seq
a2524e56-2555-44ec-af35-c67a75fe2ca3,TCGA-G4-6314-01A,2e058edb-ab27-4016-9240-1dc9e103894b,Primary Tumor,RNA-Seq
d5844027-1746-4420-b640-18108ce7ea6b,TCGA-AD-6888-01A,ecf0f65b-bf3c-4d0e-899a-f209247cbe97,Primary Tumor,RNA-Seq
1522ba4d-d4d2-4fe1-a62e-7d3a8144be44,TCGA-AA-3531-11A,a9091e33-8f02-409d-aa87-14559df9492e,Solid Tissue Normal,RNA-Seq
4ae70ca1-83d8-45a9-908c-d021359c2556,TCGA-G4-6586-01A,fdff57a6-2ce6-4b58-9bbe-83c0da7f816c,Primary Tumor,RNA-Seq
18ea89b0-8f52-4a43-adbd-dcfda1badea3,TCGA-CM-5863-01A,8fa7105d-aba3-49e4-bbc0-083c547f3449,Primary Tumor,RNA-Seq
2a19fdfd-cd77-4ad6-af4b-aa9347015f0a,TCGA-CM-6680-01A,badb214a-6225-4c0c-b0aa-a8b034e236ca,Primary Tumor,RNA-Seq
56b20e4c-13c9-4cb4-9455-48224949facf,TCGA-D5-6529-01A,0fbbfa5e-f2c3-4cc1-aeb3-456bd307cb85,Primary Tumor,RNA-Seq
47c939bb-1f4f-4021-bf45-69bd2d044af4,TCGA-A6-2678-11A,94d25554-2c1b-4646-9a93-c94e6804b6cc,Solid Tissue Normal,RNA-Seq
e24ef23c-def9-4798-bd23-d3f6042aee21,TCGA-AZ-6599-11A,807b3096-9816-41ac-8fdc-dcf12ba5b4cd,Solid Tissue Normal,RNA-Seq
d20efc7d-5a6e-4df1-b165-efb981277a25,TCGA-F4-6809-01A,1aba77ba-8c2c-4060-83e8-fb3bdd2270aa,Primary Tumor,RNA-Seq
4b1dc7d7-2e17-416f-a19d-2cc55b24bc04,TCGA-AA-3526-01A,5049aeb6-44d3-4e4a-ad30-5dc99c903039,Primary Tumor,RNA-Seq
d56b7589-287a-49a2-a278-bbc55e8c551d,TCGA-A6-6653-01A,bfdf24b7-f635-414f-8ba4-5eb58c8c4577,Primary Tumor,RNA-Seq
d6d4635b-bf65-4d44-b7f9-95f742e3dd0b,TCGA-A6-6648-01A,a111b68c-b45c-4cfc-9733-9dd140e81419,Primary Tumor,RNA-Seq
05b16c97-bf93-49a0-952c-26476b8edbff,TCGA-CM-5344-01A,698584f0-726b-4a10-bc69-9b4acaed2cef,Primary Tumor,RNA-Seq
2296a4aa-06fb-4670-b753-b491fa2b5e24,TCGA-DM-A0XF-01A,8f80047b-a700-413c-b228-6d170648e168,Primary Tumor,RNA-Seq
