ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
9,"Acetobacter lovaniensis","DSM 4491, ATCC 12875, CCUG 18127, IMET 10734, JCM 17121, LMD 31.2, LMG 1579, LMG 1617, NCIMB 8620, CCM 3606, ICMP 8610, IFO 13753, NBRC 13753, NCCB 31002","Sewage on soil###soil",Belgium,Europe,#Environmental,#Terrestrial,#Soil
9,,,,,,#Environmental,#Terrestrial,#Soil
13,"Acetobacter malorum","DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462","Food, Rotting apple###rotting apple",Belgium,Europe,"#Host Body-Site",#Plant,"#Fruit (Seed)"
13,,,,,,"#Host Body-Site",#Plant,#Bark
13,,,,,,#Host,#Plants,"#Decomposing plant"
13,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
13,,,,,,"#Host Body-Site",#Plant,#Bark
13,,,,,,#Host,#Plants,"#Decomposing plant"
13,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
13,,,,,,"#Host Body-Site",#Plant,#Bark
13,,,,,,#Host,#Plants,"#Decomposing plant"
176819,"Acetobacter malorum","DSM 112354","Vinegar ""mother"" culture",Italy,Europe,,,
132413,"Acetobacter musti","DSM 23824, CECT 7722","Bobal grape must",Spain,Europe,"#Host Body Product",#Plant,"#Juice (natural)"
132413,,,,,,#Host,#Plants,"#Shrub (Scrub)"
132413,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
132413,,,,,,"#Host Body Product",#Plant,"#Juice (natural)"
132413,,,,,,#Host,#Plants,"#Shrub (Scrub)"
132413,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
20,"Acetobacter nitrogenifigens","DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15","Kombucha tea",India,Asia,#Engineered,"#Food production",#Beverage
20,,,,,,#Engineered,"#Food production",#Fermented
20,,,,,,#Engineered,"#Food production",#Beverage
20,,,,,,#Engineered,"#Food production",#Fermented
19,"Acetobacter oeni","DSM 23926, CECT 5830, LMG 21952, CIP 109171","Food, Red wine###spoiled red wine",Portugal,Europe,#Engineered,"#Food production",#Beverage
19,,,,,,#Environmental,"#Microbial community",
19,,,,,,#Engineered,"#Food production",#Fermented
19,,,,,,#Engineered,"#Food production",#Beverage
19,,,,,,#Environmental,"#Microbial community",
19,,,,,,#Engineered,"#Food production",#Fermented
